File Name,Contour Length,Contour Area,Aspect Ratio
50.PNG,24.872534698910183,21.833333333333332,1.0942835835379696
32.PNG,38.19585715730985,22.541666666666668,5.508458092833092
20.PNG,23.971874047728146,13.5,3.403214759097112
23.PNG,31.45662096830515,17.153846153846153,4.622953969107815
31.PNG,22.12335239847501,18.166666666666668,0.8198102823102823
6.PNG,21.969273598988853,9.333333333333334,4.583888888888889
35.PNG,46.510325180159676,33.22222222222222,1.07018169309191
16.PNG,56.47576619684696,34.4375,3.2867525856496447
44.PNG,41.66454308373587,27.071428571428573,4.164341115233973
26.PNG,41.66680585543315,24.966666666666665,1.7056481481481482
2.PNG,29.992219547430675,28.416666666666668,0.7789502164502164
38.PNG,36.860541368785654,19.026315789473685,5.5907097288676235
36.PNG,35.43919162750244,22.5,1.0688339438339438
33.PNG,15.486143463850022,6.575,2.87017094017094
12.PNG,55.60046534104781,34.22727272727273,4.9767984466513875
41.PNG,23.327564817667007,15.825,4.3506109168609175
37.PNG,46.52362247775583,41.23529411764706,2.890117384746541
28.PNG,28.802222952246666,15.96875,3.1904017857142857
21.PNG,29.054891649882,21.733333333333334,3.8553439153439153
4.PNG,63.198845165116445,35.57142857142857,4.199306645735217
39.PNG,37.31370827029733,24.176470588235293,1.9028066128412144
8.PNG,34.06110641360283,15.71875,2.9928237561050057
3.PNG,39.422465428709984,30.9375,0.5340350621600621
46.PNG,24.13308532859968,15.76086956521739,2.771554834054834
9.PNG,30.686106398701668,16.53125,3.101329185520361
34.PNG,30.329071497917177,20.6,2.2013663243075006
18.PNG,61.536128809054695,34.958333333333336,6.195664350269613
30.PNG,21.725996695066755,14.105263157894736,3.5283072190966926
47.PNG,15.498519344329834,9.58,1.997847041847042
15.PNG,37.273506140708925,27.0,1.4292717086834734
7.PNG,42.85929267406463,24.0,4.031168831168832
22.PNG,16.20234926789999,9.34375,0.8519097222222223
10.PNG,60.92030982673168,41.375,1.2333333333333334
17.PNG,43.530506112358786,25.136363636363637,4.486596736596736
42.PNG,44.220983465512596,33.083333333333336,8.490931372549019
29.PNG,25.022176491586787,13.31578947368421,2.302441783362836
25.PNG,19.472759246826172,11.37037037037037,3.0642114965644374
43.PNG,53.96051189899445,26.35,5.274350649350649
49.PNG,30.23380932211876,36.0,3.6725167887667887
40.PNG,22.98691663477156,11.0,4.947552910052909
27.PNG,40.527829972180456,23.40909090909091,2.8442959001782526
5.PNG,28.503657722473143,17.45,1.0970833333333334
45.PNG,55.96697427431742,25.866666666666667,7.561290495996379
13.PNG,28.521558316548667,17.733333333333334,3.1344068894068897
19.PNG,18.761463112831116,12.42,3.845377289377289
1.PNG,33.22284556286676,25.321428571428573,0.9103641456582633
11.PNG,51.14213534196218,28.166666666666668,4.597321428571429
24.PNG,70.00178498029709,46.375,1.4166666666666665
14.PNG,43.8826732805797,34.5,1.3623321123321122
48.PNG,17.619524827370277,12.76923076923077,2.0010686962610036
