File Name,Contour Length,Contour Area,Aspect Ratio
50.PNG,40.04881206842569,28.26923076923077,2.471062271062271
32.PNG,34.84230373303095,18.333333333333332,4.251785714285714
20.PNG,35.34924207627773,31.125,0.6927655677655679
23.PNG,40.44507908821106,20.333333333333332,3.891269841269841
31.PNG,51.950959893373344,28.384615384615383,3.960229614528257
6.PNG,58.770562422275546,31.1,6.646208791208791
35.PNG,47.5531465457036,24.384615384615383,6.157581841235687
16.PNG,25.440465756825038,12.928571428571429,3.8044653758939475
44.PNG,22.10337116501548,18.0,1.06017316017316
26.PNG,37.28622428859983,22.464285714285715,4.1985853432282
2.PNG,43.47873953315947,33.27777777777778,2.9380477773860125
38.PNG,23.504344867335426,13.555555555555555,2.1549663299663298
36.PNG,54.1261972784996,36.25,2.441374458874459
33.PNG,32.705190651946594,13.583333333333334,5.459567901234568
12.PNG,43.307166589630974,26.666666666666668,2.5516569200779724
41.PNG,26.845116168260574,13.59375,4.887286324786325
37.PNG,42.38592564264933,35.0,2.7746031746031745
28.PNG,39.83479059537252,21.3,3.4642574092574088
21.PNG,25.472739850773532,14.441176470588236,3.3749936338171636
4.PNG,48.356348888079324,31.566666666666666,2.1744563279857396
39.PNG,38.93155940373739,21.541666666666668,3.689715608465608
8.PNG,51.344903349876404,29.636363636363637,4.965981240981241
3.PNG,32.91205791383982,18.0625,2.909163232600733
46.PNG,47.10073717435201,26.555555555555557,2.196941427643182
9.PNG,29.725319914519787,19.90625,2.979283216783217
34.PNG,65.74041085243225,39.95,3.997739804055594
18.PNG,42.197103313037324,34.5,1.064311878597593
30.PNG,40.92995233195169,28.0,2.643583178885589
47.PNG,44.64512550830841,30.27777777777778,1.0988603988603989
15.PNG,32.529190480709076,19.875,1.488507326007326
7.PNG,53.778769393761955,36.541666666666664,4.97327694235589
22.PNG,31.128159586121054,17.323529411764707,3.5901928953399542
10.PNG,36.259329721331596,18.15625,3.5919216200466204
17.PNG,64.23919162750244,28.4,8.756766917293234
42.PNG,19.77609293460846,10.125,3.1556739094239097
29.PNG,38.57729873873971,22.40909090909091,2.3622405372405373
25.PNG,42.198335145201,28.178571428571427,3.7137297226582944
43.PNG,56.97650958810534,35.07142857142857,4.813924922195599
49.PNG,51.86137966676192,37.63636363636363,2.2874042624042628
40.PNG,65.20584361255169,40.5,2.2736111111111112
27.PNG,42.97841245333354,29.8,3.66383111298746
5.PNG,32.057511918685016,19.264705882352942,2.5880252100840333
45.PNG,33.352472435344346,28.545454545454547,1.8452354463718101
13.PNG,50.199173190376975,29.454545454545453,1.3475641583297084
19.PNG,41.60564345783658,25.555555555555557,4.558922558922559
1.PNG,22.011563923623825,13.027777777777779,2.1537444037444033
11.PNG,22.11316941064947,10.088235294117647,5.1791380188439025
24.PNG,21.419106488878075,13.863636363636363,3.001902768948223
14.PNG,46.99262068488381,30.5,3.2164985415653864
48.PNG,50.65482710708272,36.31818181818182,1.6818015318015318
